009-第9课.md:342	缠中说禅 于2006/11/23 12:13:02 回复到:
009-第9课.md:482	如果你短线技术好一点的，可以不用那么死板，补三分之一到一半的仓，根据短线指标弄短差把成本降下来。你现在的问题是成本太高了，以后千万别去炒底，千万记住。
009-第9课.md:544	关键是你希望短线还是中线，这和你的资金量和持有量有关。
010-第10课.md:240	连着看了几天你的BLOG，突然感觉自己就是属于你说的那种不能挣钱的废人，还号称学过经济学，不是一般的厚脸皮。向姐姐表示一下感谢，因为确实，你有的想法解决了一些困扰我的问题，呵呵，思想这个东西，有时候会产生意向不到的外部效应，感谢互联网，感谢博主分享自己的知识和经验。另外，请教个实际问题，看图的时候，是否应该看复权以后的K线？还想问问8.1买入的000898 3.2买入的000725 4块买入的600301，这三只股票应该如何操作？出了，还是留，目前这三支股占仓位不大，还有资金可以操作，多谢
010-第10课.md:434	首先你要问自己当时为什么抛那股票。如果你是本着中线介入的，那股票中线所有指标都走得很好，一直在120周线上调整，没有跌破这中线的生命线，所以找不到要中线走的理由；短线就不说了，走了就走了。所以买股票时一定要先搞清楚你为什么要买，你搞他的理由是什么，是短线的还是中线的，相应的要设计好介入的模式和仓位控制，不能被市场的短线波动所影响。
010-第10课.md:554	也不用全抛了，毕竟中线行情还没有完全结束，如果你满仓这两只股票，那最好借短线冲高机会，减低一点仓位，这样就减少了风险，资金运用也可以灵活点。如果占仓位比例不高，那就留着也没问题。
010-第10课.md:690	哎，主力要恨死博主了，偶坚决支持。下午准备满仓认沽，要么升天，要么短期下下地狱。
010-第10课.md:694	心态好一点，不能赌性太大。除非你觉得自己短线感觉很好，否则最好不要满仓参与风险太大的品种。
010-第10课.md:904	一定要改变思维模式，不要问什么调整到位没有的问题，而是要问自己搞的标准是什么，每个人的标准都不同，这与资金量和投资经验有关。唯一正确的问法是：600036现在符合自己搞的标准吗？ 是否符合，只有你自己知道，如何你自己都不知道，那请你先停下来，自己想清楚，不清不楚就把市场到赌场，市场会变脸的。
010-第10课.md:960	短线轮动很正常，长线看，有色股票的分化在于筹码的集中度，有些散户拿的太多的，就只能继续折腾了。散户不敢拿的，都变庄股，走起来就没谱了。
011-第11课.md:288	这股票，原来被吹太多，筹码太散，所以走势特别反复。中线会有表现的，短线6。5元压力，突破空间打开。
011-第11课.md:502	不要习惯于这种机械化的思维。一切都根据实际情况来的，不同资金量、不同的操作水平，所确定的操作标准就不同。但一点是相同的，就是以我为主，定好相应的标准才操作。
011-第11课.md:632	根据你自己的资金量和操作水平来设置。
013-第13课.md:86	因可能要出去一段时间，我想把满仓的600653和000822换成000932，值吗？
013-第13课.md:120	其实，熟悉走势的人根本不需要等到真跌破低点了才发现问题，一般来说，一半的位置是不会跌破的，一旦跌破，就是会出问题。至于跌破低点，一般都会有反抽的，这是最后的走人机会。再不走，只能杀跌走了。
013-第13课.md:204	前段时间请教的000100(TCL),果然如楼主说的正在磨年线,现已突破年线,我也跟进补仓,现在成本4.3,不知能否解套或需要再次补仓.
013-第13课.md:208	以后补仓就坚决一点,别分着补,一次性就把成本将到某个标准.4.3在明年是有机会达到的,但如果是3.3元,机会就大多了,很有可能明年上半年就见到.
013-第13课.md:210	有一种方法,就是也不再补仓了,在下次中线上涨的高位把这次补仓的出掉,然后等其后的中线调整回试年线在补回,而原来套牢的一直不动,这样估计你的成本能降到4元以下,明年解套的机会就很大了.
013-第13课.md:212	当然,如果你的短线技术还可以,就利用每次调整把回补的出一部分,下来再回补,这样反复几次,很快就能解套了.当然,有一个原则,原来套牢的不要动.这用补仓的仓位来动,这样既不增加仓位,也不占用更多的资金,其他钱可以关注另外的.
013-第13课.md:276	想资金利用率高很简单,把操作的图形改为分钟线等,自然就高了.但这对大资金无效.本ID所说是面对所有情况的,而各人根据自己的资金量来选择相应的操作图形周期.
014-第14课.md:250	缠中说禅短差程序：大级别买点介入的，在次级别第一类卖点出现时，可以先减仓，其后在次级别第一类买点出现时回补。
014-第14课.md:320	我的分析：000530经过长期的纠缠上涨，相信庄家已经收足筹码，这两日放量上涨之后即将回调。短线高手可以介入，中长线时机已经错过。
014-第14课.md:498	现在,如果没及早准备,反而要稳住自己,如果大满仓,那下午或明天的反抽时可以适当减低仓位.由于大盘中线问题不大,如果短线技术不好的,也不一定玩短线.
015-第15课.md:208	好的操作者就是以幻制幻,幻中取利. 大盘跌,意味着机会又来了，应该高兴才对.当然,满仓的就没办法了.
015-第15课.md:384	另外，就算你看30分钟玩短线，也可以利用1分钟图来打短差，就是有一部分筹码按1分钟的提示来操作。
015-第15课.md:492	但如果你是按1分钟图来操作的，那就不存在这个问题了。所以关键是你的资金量和操作习惯。
015-第15课.md:494	其实，如果资金量不大，对于联通这类股票已经在中线图上买点过了，卖点又没出现的，最好的就是持有，然后按照比中线图低1级别的图，拿部分仓位作短差，这样资金利用率就高了。
015-第15课.md:532	当然，站在本ID的立场上，是不建议全仓位地按1分钟或5分钟进出的，这对大资金根本无效。但可以利用这些图弄短差。
015-第15课.md:534	这些问题在以后的仓位控制上都会说到的。
015-第15课.md:568	学了就要用，买了就要看好卖点的出现，特别权证，如果你资金量不大，看1分钟，最多看5分钟图足以。
015-第15课.md:692	“禅主”，今天一天都在强烈关注你说的深市大盘1分钟图，在学习了你说的MACD红绿柱子，总感觉深市力度不够，上午将600111在10.10卖出空仓，本想买进北辰，可你说的第一买点应该还没出现，等待明天大盘明朗化，真谢谢你！
015-第15课.md:696	如果你是超短线，每天进出的，卖了就要马上找到该买的对象，这样资金利用率才高，否则T+1，很难操作。如果你是中线的，在牛市中就不要随便空仓，除非你资金特别少，可以利用震荡不断把成本降低，直到日线或周线的第一类卖点出现后一次性卖出。
015-第15课.md:852	如果你是超短线，每天进出的，卖了就要马上找到该买的对象，这样资金利用率才高，否则T+1，很难操作。如果你是中线的，在牛市中就不要随便空仓，除非你资金特别少，可以利用震荡不断把成本降低，直到日线或周线的第一类卖点出现后一次性卖出。
015-第15课.md:976	关于038004的作业，回答比较正确的是下面这位。但还是有点出入。10月23到25日是本ID的见仓期，第一波上去后，11月8日减了一半，后来在60天线附近一路回补，加仓是在12月6日、7日两天，比第一次买的，加了1/2的仓位。这里的理由除了第二类买点，还有一个现在没说到的，就是三角形整理的第五波末段。该走势十分标准，自己去研究一下。昨天根据5分钟线的背弛出了大半，把剩下的成本是0了。本ID作权证，特别是认沽，第一轮上去都会这样减仓操作，只持有成本是0的仓位等待第二波，第二波是否有，这已经问题不大了，这样就绝对立于不败之地了。
015-第15课.md:990	二、找到了第一类买点，第二类买点就容易多了（这也是我最近的体会，如果第一类买点找错，那第二类买点也容易错），是在11.14那天女上位后的第一次缠绕,也许是12.7日那天,因为11.14那天30分钟图同样出现盘整,而12.7比较像背驰但未创新低,对比缠姐曾解说过的MACD的M头后再背驰的说法(虽然我也不太懂).应该是12.7那天是加仓的位置,那也是第一类买点出现后MACD黄白线冲0轴后的第一次回抽并且已经走平了.
015-第15课.md:1036	本来以为你的资金量很大的，现在看来估计这只是你的一个小仓位而已。我猜的对吗？
015-第15课.md:1040	对于本ID的总资金，仓位不大，对于一般人，那就很大了。本ID不坐庄的，所以别以为本ID把他们拉起来了。
