derived_type	level	side	seg_a_start	seg_a_end	c_start	b_center_start	kind	prod_observed_at	p409_observed_at	completion_as_of	completed_seg_c_end	cstart_to_completion	structural_seg_c_span	completion_visibility_lag	p409_last_observed_at	p409_extra_after_completion	p409_state	p409_reason	p409_first_provable_at	p409_invalidated_at	p409_revisions	completion_branch
PanConsolidation/L1(lower=parser-Segment)	1	Long	628	718	1334	737	Consolidation	1693	1693	1693	1352	359	18	341	2253	560	Invalidated	Some(ForceOvertake)	Some(1693)	Some(2253)	563	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	1334	1352	1839	1352	Consolidation	2047	2047	2047	2011	208	172	36	99999	97952	Provisional	None	None	None	97953	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	1394	1540	2178	1654	Consolidation	2319	2319	2319	2287	141	109	32	99999	97680	Provisional	None	None	None	97681	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	2731	2905	3223	2915	Consolidation	3388	3388	3388	3336	165	113	52	99999	96611	Provisional	None	None	None	96612	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	4398	4756	5622	5123	Consolidation	5946	5946	5946	5905	324	283	41	6221	275	Invalidated	Some(ForceOvertake)	Some(5946)	Some(6221)	278	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	5341	5521	5967	5622	Consolidation	6403	6403	6403	6353	436	386	50	99999	93596	Provisional	None	None	None	93597	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	5816	5905	6404	5909	Consolidation	6776	6776	6776	6747	372	343	29	7006	230	Invalidated	Some(ForceOvertake)	Some(6776)	Some(7006)	233	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	6404	6747	6897	5909	Consolidation	7142	7142	7142	7047	245	150	95	99999	92857	Provisional	None	None	None	92858	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	11984	12091	12633	12205	Consolidation	12867	12867	12867	12727	234	94	140	12905	38	Invalidated	Some(ForceOvertake)	Some(12867)	Some(12905)	41	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	12299	12513	13012	12513	Consolidation	13663	13663	13663	13482	651	470	181	13858	195	Invalidated	Some(IdentityVanished)	Some(13663)	Some(13859)	198	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
