# artifact=p124-s8-final-recon-c3-2308-ledger-20260719.tsv
# inputs=/tmp/c_m.txt,/tmp/c_v3.txt,/tmp/p92_ckpt_dump_v3.txt,/tmp/p125_audit.out
# total_deleted_cert=2308 unique_lost_terminal=358 expected=2308/358
# deleted_cert_by_old_terminal_class type1=44 type2=1417 type3=847
# unique_lost_terminal_by_old_class type1=8 type2=220 type3=130
# semantic_reason_rows S8_P1_TREND_TYPE1_REQUIRED=2264 S8_P3_TREND_OWNER_B_GATE_INFERRED=44
# turn_class_deleted ExecEvidenceOnly=1107 NestedConfirmed=1166 XiaozhuandaCandidate=35
# terminal_multiplicity 2:1 3:21 4:33 5:59 6:80 7:61 8:19 9:83 10:1
# invariants map_missing=0 nontrend=0 cert_turn_pair_bad=0
# authority_gap=main_repo_missing_requested_rulings_and_p124_source; type1_drop_owner_reason_is_inferred_because_p125_owner_readback_was_not_done
v3_cert_line	v3_turn_line	p125_line	caliber	exec	top	side	bucket	kinds	judge_at	ids	terminal_key	terminal_kind	old_terminal_class	old_terminal_bits	turn_class	confirmed_vec	semantic_reason_code	reason_strength	authority_status
65336	65337	29	A	1	1	Long	trend	Trend	38693	1:38625:34638-38625	1:38625:34638-38625	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65338	65339	30	A	1	1	Long	trend	Trend	77260	1:69347:67683-69347	1:69347:67683-69347	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65340	65341	31	A	1	1	Long	trend	Trend	181855	1:181714:178947-181714	1:181714:178947-181714	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65342	65343	32	A	1	1	Long	trend	Trend	188944	1:182281:181808-182281	1:182281:181808-182281	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65344	65345	33	A	1	1	Long	trend	Trend	221251	1:219153:218895-219153	1:219153:218895-219153	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65346	65347	34	A	1	1	Long	trend	Trend	443362	1:443309:248845-443309	1:443309:248845-443309	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65348	65349	35	A	1	1	Long	trend	Trend	321257	1:318358:317154-318358	1:318358:317154-318358	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65352	65353	37	A	1	1	Long	trend	Trend	367497	1:367116:365241-367116	1:367116:365241-367116	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65354	65355	38	A	1	1	Long	trend	Trend	383182	1:382352:382166-382352	1:382352:382166-382352	Trend	type1	100000	NestedConfirmed	1	S8_P3_TREND_OWNER_B_GATE_INFERRED	INFERRED_OWNER_NOT_EMITTED	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65356	65357	39	A	1	1	Long	trend	Trend	403983	1:402254:400022-402254	1:402254:400022-402254	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65358	65359	40	A	1	1	Long	trend	Trend	408709	1:407737:406775-407737	1:407737:406775-407737	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65360	65361	41	A	1	1	Long	trend	Trend	425079	1:425033:412955-425033	1:425033:412955-425033	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65362	65363	42	A	1	1	Long	trend	Trend	420177	1:417797:417177-417797	1:417797:417177-417797	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65364	65365	43	A	1	1	Long	trend	Trend	498942	1:498060:491547-498060	1:498060:491547-498060	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65366	65367	44	A	1	1	Long	trend	Trend	506553	1:503623:501767-503623	1:503623:501767-503623	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65368	65369	45	A	1	1	Long	trend	Trend	527523	1:527482:524070-527482	1:527482:524070-527482	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65370	65371	46	A	1	1	Long	trend	Trend	555646	1:550985:550568-550985	1:550985:550568-550985	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65372	65373	47	A	1	1	Long	trend	Trend	624902	1:624584:621353-624584	1:624584:621353-624584	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65376	65377	49	A	1	1	Long	trend	Trend	680634	1:680548:677667-680548	1:680548:677667-680548	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65378	65379	50	A	1	1	Long	trend	Trend	738564	1:736390:732586-736390	1:736390:732586-736390	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65380	65381	51	A	1	1	Long	trend	Trend	757503	1:757471:746605-757471	1:757471:746605-757471	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65382	65383	52	A	1	1	Long	trend	Trend	808077	1:807864:797203-807864	1:807864:797203-807864	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65384	65385	53	A	1	1	Long	trend	Trend	864167	1:863403:862723-863403	1:863403:862723-863403	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65386	65387	54	A	1	1	Long	trend	Trend	939281	1:938417:938187-938417	1:938417:938187-938417	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65388	65389	55	A	1	1	Long	trend	Trend	947570	1:947508:943169-947508	1:947508:943169-947508	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65390	65391	56	A	1	1	Long	trend	Trend	978806	1:978768:973326-978768	1:978768:973326-978768	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65392	65393	57	A	1	1	Long	trend	Trend	1044168	1:1044073:1042422-1044073	1:1044073:1042422-1044073	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65394	65395	58	A	1	1	Long	trend	Trend	1118702	1:1118603:1117662-1118603	1:1118603:1117662-1118603	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65398	65399	60	A	1	1	Long	trend	Trend	1131559	1:1130992:1128651-1130992	1:1130992:1128651-1130992	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65400	65401	61	A	1	1	Long	trend	Trend	1185188	1:1185141:1142738-1185141	1:1185141:1142738-1185141	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65402	65403	62	A	1	1	Long	trend	Trend	1173912	1:1173588:1169537-1173588	1:1173588:1169537-1173588	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65404	65405	63	A	1	1	Long	trend	Trend	1175813	1:1174635:1173838-1174635	1:1174635:1173838-1174635	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65406	65407	64	A	1	1	Long	trend	Trend	1184456	1:1180589:1180063-1180589	1:1180589:1180063-1180589	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65408	65409	65	A	1	1	Long	trend	Trend	1188978	1:1188910:1185510-1188910	1:1188910:1185510-1188910	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65410	65411	66	A	1	1	Long	trend	Trend	1197834	1:1197629:1194719-1197629	1:1197629:1194719-1197629	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65412	65413	67	A	1	1	Long	trend	Trend	1217397	1:1217096:1203201-1217096	1:1217096:1203201-1217096	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65414	65415	68	A	1	1	Long	trend	Trend	1238767	1:1231776:1230470-1231776	1:1231776:1230470-1231776	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65418	65419	70	A	1	1	Long	trend	Trend	1276257	1:1275327:1274884-1275327	1:1275327:1274884-1275327	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65420	65421	71	A	1	1	Long	trend	Trend	1312412	1:1309261:1308069-1309261	1:1309261:1308069-1309261	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65422	65423	72	A	1	1	Long	trend	Trend	1368840	1:1368733:1367162-1368733	1:1368733:1367162-1368733	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65424	65425	73	A	1	1	Long	trend	Trend	1385998	1:1385949:1382602-1385949	1:1385949:1382602-1385949	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65428	65429	75	A	1	1	Long	trend	Trend	1398429	1:1394202:1390066-1394202	1:1394202:1390066-1394202	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65430	65431	76	A	1	1	Long	trend	Trend	1475874	1:1475657:1462820-1475657	1:1475657:1462820-1475657	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65432	65433	77	A	1	1	Long	trend	Trend	1480920	1:1480876:1476085-1480876	1:1480876:1476085-1480876	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65434	65435	78	A	1	1	Long	trend	Trend	1547893	1:1545424:1545202-1545424	1:1545424:1545202-1545424	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65436	65437	79	A	1	1	Long	trend	Trend	1599385	1:1599360:1596890-1599360	1:1599360:1596890-1599360	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65438	65439	80	A	1	1	Long	trend	Trend	1617067	1:1616331:1615935-1616331	1:1616331:1615935-1616331	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65440	65441	81	A	1	1	Long	trend	Trend	1625762	1:1625730:1622498-1625730	1:1625730:1622498-1625730	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65442	65443	82	A	1	1	Long	trend	Trend	1735114	1:1735059:1724644-1735059	1:1735059:1724644-1735059	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65444	65445	83	A	1	1	Long	trend	Trend	1741690	1:1738146:1735242-1738146	1:1738146:1735242-1738146	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65446	65447	84	A	1	1	Long	trend	Trend	1792321	1:1791379:1789259-1791379	1:1791379:1789259-1791379	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65448	65449	85	A	1	1	Long	trend	Trend	1812441	1:1809846:1809569-1809846	1:1809846:1809569-1809846	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65450	65451	86	A	1	1	Long	trend	Trend	1890250	1:1887327:1884654-1887327	1:1887327:1884654-1887327	Trend	type2	010000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65452	65453	87	A	1	1	Long	trend	Trend	1919453	1:1919313:1917642-1919313	1:1919313:1917642-1919313	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65454	65455	88	A	1	1	Long	trend	Trend	1921335	1:1921268:1919489-1921268	1:1921268:1919489-1921268	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65456	65457	89	A	1	1	Long	trend	Trend	1928978	1:1928690:1922320-1928690	1:1928690:1922320-1928690	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65460	65461	91	A	1	1	Long	trend	Trend	1963008	1:1962926:1957516-1962926	1:1962926:1957516-1962926	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65462	65463	92	A	1	1	Long	trend	Trend	1979711	1:1979302:1977789-1979302	1:1979302:1977789-1979302	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
65466	65467	94	A	1	1	Long	trend	Trend	2038016	1:2037965:2036114-2037965	1:2037965:2036114-2037965	Trend	type3	001000	NestedConfirmed	1	S8_P1_TREND_TYPE1_REQUIRED	DIRECT_OLD_BITS_NON_TYPE1	CANONICAL_RULING_AND_P124_SOURCE_MISSING
