# artifact=p124-s8-final-recon-c3-terminal-bridge-20260719.tsv
# source=/tmp/p125_audit.out Trend terminal events joined by (side,level,turn_source,window) to v3/p124 CERT terminal rung
# baseline_trend=465 type1=95 type2=239 type3=131
# s8_keep_trend=107 type1=87 type2=19 type3=1
# s8_drop_trend=358 type1=8 type2=220 type3=130
# anomaly_non_type1_survivors=20 expected_zero_under_acceptance_P1
# type1_drops=8 owner_B_failure_inferred_not_directly_emitted
# row_order=anomaly_non_type1_survivors,type1_drops,expected_non_type1_drops,type1_keeps
p125_line	level	side	turn_source	window	old_bits	old_class	s8_status	v3_cert_count	s8_cert_count	cert_delta	adjudication
59	1	Long	1125636	[1124843,1125636]	010000	type2	KEEP	6	6	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
93	1	Long	2014830	[2014256,2014830]	010000	type2	KEEP	6	6	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
131	1	Long	3035023	[3034620,3035023]	010000	type2	KEEP	6	6	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
133	1	Long	3148707	[3148016,3148707]	010000	type2	KEEP	6	6	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
470	1	Short	345651	[345154,345651]	000010	type2	KEEP	8	8	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
493	1	Short	965573	[965202,965573]	000010	type2	KEEP	9	9	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
534	1	Short	1840771	[1839953,1840771]	000010	type2	KEEP	9	9	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
545	1	Short	2154312	[2153690,2154312]	000010	type2	KEEP	9	9	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
557	1	Short	2450168	[2449166,2450168]	000010	type2	KEEP	6	6	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
582	1	Short	3058873	[3058261,3058873]	000001	type3	KEEP	9	9	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
963	2	Long	998915	[993707,998915]	010000	type2	KEEP	5	5	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
975	2	Long	2289965	[2288954,2289965]	010000	type2	KEEP	5	5	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
1042	2	Short	112271	[111255,112271]	000010	type2	KEEP	4	4	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
1048	2	Short	856847	[851615,856847]	000010	type2	KEEP	7	7	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
1058	2	Short	1708622	[1705705,1708622]	000010	type2	KEEP	7	7	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
1075	2	Short	3306843	[3306426,3306843]	000010	type2	KEEP	7	7	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
1194	3	Short	108097	[85021,108097]	000010	type2	KEEP	3	3	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
1199	3	Short	2847785	[2842477,2847785]	000010	type2	KEEP	3	3	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
1203	3	Short	3816518	[3802709,3816518]	000010	type2	KEEP	4	4	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
1241	5	Long	2826563	[2721044,2826563]	010000	type2	KEEP	2	2	0	RECON_FAIL_P1_NON_TYPE1_SURVIVED
38	1	Long	382352	[382166,382352]	100000	type1	DROP	6	0	-6	P3_OWNER_B_FAIL_INFERRED
103	1	Long	2288041	[2287886,2288041]	100000	type1	DROP	4	0	-4	P3_OWNER_B_FAIL_INFERRED
174	1	Long	4543049	[4542860,4543049]	100000	type1	DROP	4	0	-4	P3_OWNER_B_FAIL_INFERRED
575	1	Short	2926757	[2922664,2926757]	000100	type1	DROP	7	0	-7	P3_OWNER_B_FAIL_INFERRED
