expiry,strike,localSymbol,bid,ask,mid,last,close,price,iv,delta,gamma,theta
20260825,150.0,COILV6 C150,,,,,2.04,2.04,0.7225819942277482,0.137031666313797,0.005816321443741794,-0.03053598132623936
20260825,155.0,COILV6 C155,,,,,1.87,1.87,0.7267692001439426,0.12515796269867485,0.005407793291419727,-0.02808376198464968
20260825,160.0,COILV6 C160,,,,,1.73,1.73,0.735765557384433,0.11473546193853432,0.005035741979690167,-0.0228223479137204
20260825,170.0,COILV6 C170,,,,,1.48,1.48,0.7536542496183043,0.09935103527632998,0.004418398190395632,-0.024061280076550284
20260825,180.0,COILV6 C180,,,,,1.28,1.28,,,,
20260825,190.0,COILV6 C190,,,,,1.12,1.12,,,,
20260825,200.0,COILV6 C200,,,,,0.99,0.99,0.8061653777775374,0.06731123309289157,0.0030911357248804665,-0.018409321059883466
20260825,210.0,COILV6 C210,,,,,0.88,0.88,,,,
20260825,220.0,COILV6 C220,,,,,0.78,0.78,,,,
20260825,225.0,COILV6 C225,,,,,0.74,0.74,,,,
20260825,230.0,COILV6 C230,,,,,0.7,0.7,,,,
20261027,140.0,COILZ6 C140,,,,,1.88,1.88,,,,
20261027,150.0,COILZ6 C150,,,,,1.58,1.58,,,,
20261027,155.0,COILZ6 C155,,,,,1.47,1.47,,,,
20261027,160.0,COILZ6 C160,,,,,1.36,1.36,0.6094245358492398,0.0947442745688164,0.004608717991739545,-0.014581791977407832
20261027,170.0,COILZ6 C170,,,,,1.17,1.17,,,,
20261027,180.0,COILZ6 C180,,,,,1.01,1.01,,,,
20261027,190.0,COILZ6 C190,,,,,0.88,0.88,0.6539850289940409,0.06173880116049643,0.0031041500887459927,-0.010670827495209312
20261027,200.0,COILZ6 C200,,,,,0.78,0.78,,,,
20261027,220.0,COILZ6 C220,,,,,0.62,0.62,0.6912171873554123,0.04355688530179449,0.002224481502113585,-0.009311392409196872
20261027,230.0,COILZ6 C230,,,,,0.56,0.56,0.7022225518607138,0.03880216364154691,0.0019979964662642474,-0.008952731403167102
20270126,140.0,COILH7 C140,,,,,1.47,1.47,,,,
20270126,150.0,COILH7 C150,,,,,1.24,1.24,,,,
20270126,200.0,COILH7 C200,,,,,0.65,0.65,,,,
