,L_over_GDP,M2Gold_over_OilGDP,M2Gold_over_GDP,M2,GDP,Gold,Oil,L
2010-06-30,9.462554446153739,9.462554446153737,709.5023323726073,8628.1,15101.2535,1241.8,74.98,142896.4334489197
2010-07-31,8.604987451502192,8.604987451502192,672.0495199623211,8639.5,15183.57375,1181.1,78.1,130654.46158770808
2010-08-31,9.563891266233544,9.563891266233544,711.8404269457626,8687.9,15225.5405,1247.5,74.43,145615.41381163508
2010-09-30,9.096656077014625,9.096656077014625,746.8354639229008,8718.7,15267.50725,1307.8,82.1,138883.26260657737
2010-10-31,9.360296308927492,9.360296308927492,777.6534173456961,8768.4,15319.9675,1358.7,83.08,143399.43524313913
2010-11-30,9.221223691923617,9.221223691923617,793.3940864531081,8789.0,15330.461,1383.9,86.04,141365.61018131103
2010-12-31,8.584751347986172,8.584751347986172,816.0664631395656,8823.2,15340.9545,1418.9,95.06,131698.27982326952
2011-01-31,7.633283055359676,7.633283055359676,766.1526202664508,8849.0,15402.97075,1333.6,100.37,117575.23562817572
2011-02-28,7.278708197320487,7.278708197320487,813.614002296484,8913.3,15454.4935,1410.7,111.78,112488.74852388618
2011-03-31,7.067884001986022,7.067884001986021,828.9921145929405,8971.5,15506.01625,1432.8,117.29,109594.7241879103
2011-04-30,7.202839026700377,7.202839026700376,906.4052631199753,9035.1,15580.07425,1563.0,125.84,112220.7668467896
2011-05-31,7.683576728720078,7.683576728720077,896.4428969397715,9107.8,15602.6095,1535.7,116.67,119883.8472615068
2011-06-30,7.891000819999564,7.891000819999565,882.7662617333514,9182.1,15625.14475,1502.2,111.87,123298.03003486188
2011-07-31,8.237945763668941,8.237945763668943,961.3682706201655,9344.2,15696.32475,1614.9,116.7,129305.47197943446
2011-08-31,9.640813269676554,9.640813269676554,1105.2228332357201,9531.0,15744.9695,1825.8,114.64,151794.3108862526
2011-09-30,9.585063268288861,9.585063268288861,982.0855824688767,9551.5,15793.61425,1623.9,102.46,151382.79182119854
2011-10-31,9.525998012215537,9.525998012215537,1039.286383132715,9584.4,15898.8955,1724.0,109.1,151452.84692942255
2011-11-30,9.552849746335038,9.552849746335038,1054.6346119953882,9636.5,15955.532,1746.2,110.4,152420.79981884058
2011-12-31,8.76552661382777,8.765526613827772,946.0632874304314,9683.9,16012.1685,1564.3,107.93,140355.0891318447
2012-01-31,9.48049380440818,9.48049380440818,1052.1452024132197,9757.6,16103.3825,1736.4,110.98,152668.0180212651
2012-02-29,8.393869631801198,8.3938696318012,1032.5299034078655,9809.8,16137.96,1698.6,123.01,135459.93236322247
2012-03-31,8.26016967619279,8.26016967619279,1016.248675261999,9853.9,16172.5375,1667.9,123.03,133587.90384459076
2012-04-30,8.515618986724439,8.515618986724439,1016.5094384452964,9907.7,16235.2215,1665.7,119.37,138252.96045907683
2012-05-31,9.376374824165199,9.3763748241652,954.7962483447423,9951.4,16263.328,1560.4,101.83,152491.05921634095
2012-06-30,10.07036701579448,10.07036701579448,983.371339092331,10021.6,16291.4345,1598.6,97.65,164060.72462877622
2012-07-31,9.491066792766102,9.491066792766103,993.9045145384663,10074.5,16344.7605,1612.5,104.72,155129.21361726508
2012-08-31,9.129338243489913,9.129338243489913,1047.4089766755976,10145.6,16369.98,1690.0,114.73,149447.084459165
2012-09-30,9.823408557247747,9.823408557247749,1101.49880152419,10226.1,16395.199500000002,1766.0,112.13,161056.74306608402
2012-10-31,9.907070600200269,9.907070600200269,1073.6292409437033,10292.4,16477.3615,1718.8,108.37,163242.3836855218
2012-11-30,9.666982515069671,9.666982515069671,1074.7751160254463,10361.9,16534.304,1715.0,111.18,159836.82766684654
2012-12-31,9.528580494706825,9.528580494706825,1059.768722621293,10484.1,16591.2465,1677.1,111.22,158091.02778277287
2013-01-31,9.069195900797707,9.069195900797705,1047.764202419159,10508.1,16668.3135,1662.0,115.53,151168.20046741108
2013-02-28,8.968677340202968,8.968677340202968,995.2541244423234,10527.5,16688.438000000002,1577.7,110.97,149673.21573398216
2013-03-31,9.185767559084999,9.185767559084997,1010.7100045261224,10583.8,16708.5625,1595.6,110.03,153480.97137144415
2013-04-30,9.174129289320273,9.174129289320273,932.7337248451922,10611.3,16784.97475,1475.4,101.67,153987.52847447625
2013-05-31,8.760582394521604,8.760582394521602,876.8466918676671,10646.1,16841.2625,1387.1,100.09,147539.2677590169
2013-06-30,7.659265491673916,7.659265491673916,782.0875993548236,10703.3,16897.55025,1234.7,102.11,129422.82352365096
2013-07-31,7.756259430203251,7.75625943020325,836.9003925189306,10742.8,17013.38325,1325.4,107.9,131960.21427247452
2013-08-31,7.724822882708292,7.724822882708292,881.7885320611516,10801.2,17072.9285,1393.8,114.15,131885.34875164257
2013-09-30,7.773018022372895,7.773018022372894,842.2065027241031,10862.0,17132.47375,1328.4,108.35,133171.02722658054
2013-10-31,7.7666906084521985,7.766690608452199,845.9479410726135,10986.3,17193.44875,1323.9,108.92,133536.1969335292
2013-11-30,7.288589383639985,7.288589383639984,800.3600002175066,10995.6,17194.8785,1251.6,109.81,125326.40888807942
2013-12-31,6.946923550712368,6.946923550712367,770.9001064225514,11060.1,17196.308250000002,1198.6,110.97,119461.4387672344
2014-01-31,7.536806396651792,7.5368063966517935,801.5393602839181,11130.8,17277.930500000002,1244.2,106.35,130220.41711330511
2014-02-28,7.838916307579978,7.838916307579979,855.4609366462031,11196.8,17358.123,1326.2,109.13,136068.8734536791
2014-03-31,7.683547557239434,7.683547557239433,827.518071914687,11232.6,17438.3155,1284.7,107.7,133988.12646239556
2014-04-30,7.661842285909216,7.661842285909217,828.5516247982226,11277.7,17589.938000000002,1292.3,108.14,134771.3307749214
2014-05-31,7.330398880547489,7.330398880547489,803.1185013527829,11342.8,17661.368000000002,1250.5,109.56,129464.87221613726
2014-06-30,7.5999543938168355,7.599954393816835,853.8548761453213,11398.1,17732.798,1328.4,112.35,134768.45607476638
2014-07-31,7.806199180638219,7.80619918063822,823.9443235163641,11453.0,17831.19075,1282.8,105.55,139193.8266224538
2014-08-31,8.01526597072293,8.01526597072293,826.3739215815341,11477.3,17858.1535,1285.8,103.1,143137.8500484966
2014-09-30,8.225238316938404,8.225238316938405,778.0252923992037,11519.1,17885.11625,1208.0,94.59,147109.3434823977
2014-10-31,8.816571505674105,8.816571505674105,757.7843209126893,11593.1,17949.9415,1173.3,85.95,158256.9427574171
2014-11-30,10.892733273584115,10.892733273584115,743.8647552530592,11634.2,17987.804,1150.1,68.29,195936.35114950943
2014-12-31,13.506862657927368,13.506862657927366,779.345975362409,11717.6,18025.6665,1198.9,57.7,243470.2017331023
2015-01-31,15.92659511057003,15.926595110570032,835.986977353821,11805.2,18117.59275,1283.0,52.49,288551.564107449
2015-02-28,12.805855301694882,12.80585530169488,796.2680826593877,11922.8,18171.656499999997,1213.6,62.18,232703.6037311032
2015-03-31,14.064236442912312,14.06423644291231,773.6736467246062,11920.5,18225.72025,1182.9,55.01,256330.8389383749
2015-04-30,11.588453876515084,11.588453876515082,772.3704508697303,11954.6,18310.2445,1183.0,66.65,212187.423855964
2015-05-31,11.904037010940366,11.904037010940366,778.6430608856093,11982.6,18340.705,1191.8,65.41,218328.43112673904
2015-06-30,12.117605595878642,12.117605595878643,766.4385539393242,12023.2,18371.1655,1171.1,63.25,222614.53786561263
2015-07-31,13.86786283317759,13.867862833177588,717.6619016169402,12067.0,18410.00375,1094.9,51.75,255307.40676328505
2015-08-31,14.134619101989285,14.134619101989287,745.4598114389149,12112.0,18418.3815,1133.6,52.74,260336.80697762605
