,L,GDP,L_GDP_ratio,M2,omega
2010-06-30,142896.4334489197,15087.802333333333,9.47099055859315,8628.1,16.56174979994665
2010-07-31,130654.46158770807,15141.607,8.628837189322644,8639.5,15.122919334186939
2010-08-31,145615.41381163508,15197.562666666667,9.581497836558906,8687.9,16.760714765551523
2010-09-30,138883.26260657737,15253.518333333333,9.104998569613766,8718.7,15.929354445797808
2010-10-31,143399.43524313913,15309.474,9.366712092338322,8768.4,16.354116514203177
2010-11-30,141365.61018131103,15323.465333333334,9.225433484278296,8789.0,16.084379358437936
2010-12-31,131698.27982326952,15337.456666666667,8.586709171246962,8823.2,14.926362297496318
2011-01-31,117575.23562817572,15351.448,7.658901989452443,8849.0,13.286838696821757
2011-02-28,112488.74852388618,15420.145,7.294921579783211,8913.3,12.62032563964931
2011-03-31,109594.7241879103,15488.842,7.075720973066307,8971.5,12.215875181174864
2011-04-30,112220.76684678959,15557.539,7.213272410680737,9035.1,12.420534011443102
2011-05-31,119883.8472615068,15587.586000000001,7.69098225097246,9107.8,13.162766778092054
2011-06-30,123298.03003486189,15617.633,7.894796223913182,9182.1,13.428086171449003
2011-07-31,129305.47197943446,15647.68,8.263555490618064,9344.2,13.838046272493573
2011-08-31,151794.3108862526,15712.539666666667,9.660711387623499,9531.0,15.926378227494766
2011-09-30,151382.79182119854,15777.399333333333,9.594914131467032,9551.5,15.849111848526256
2011-10-31,151452.84692942255,15842.259,9.560053710106782,9584.4,15.802016498625115
2011-11-30,152420.79981884058,15917.774333333333,9.575509529599055,9636.5,15.817028985507246
2011-12-31,140355.0891318447,15993.289666666667,8.775873635576914,9683.9,14.493653293801536
2012-01-31,152668.0180212651,16068.805,9.500894311759032,9757.6,15.646062353577221
2012-02-29,135459.93236322247,16114.908333333333,8.405876692641595,9809.8,13.80863344443541
2012-03-31,133587.90384459076,16161.011666666667,8.266060726886678,9853.9,13.556856051369586
2012-04-30,138252.96045907683,16207.115,8.530386836835355,9907.7,13.954092318002848
2012-05-31,152491.05921634097,16244.590333333334,9.387190202232102,9951.4,15.32357851320829
2012-06-30,164060.72462877622,16282.065666666665,10.07616158707972,10021.6,16.370711725550432
2012-07-31,155129.21361726508,16319.541,9.50573386943083,10074.5,15.39820473644003
2012-08-31,149447.084459165,16353.167,9.138724288644823,10145.6,14.730236206746273
2012-09-30,161056.74306608402,16386.793,9.828448010912446,10226.1,15.749576384553643
2012-10-31,163242.3836855218,16420.419,9.941426201458183,10292.4,15.860477992064224
2012-11-30,159836.82766684654,16496.342333333334,9.689228341477387,10361.9,15.425436229537686
2012-12-31,158091.02778277287,16572.265666666666,9.539493932972364,10484.1,15.07912245998921
2013-01-31,151168.20046741108,16648.189,9.080158836940829,10508.1,14.385873799013243
2013-02-28,149673.21573398216,16675.021666666667,8.975893328713244,10527.5,14.217356042173561
2013-03-31,153480.97137144415,16701.854333333333,9.189456949407642,10583.8,14.50149959102063
2013-04-30,153987.52847447625,16728.687,9.204997886234361,10611.3,14.511655355562114
2013-05-31,147539.2677590169,16803.737333333334,8.780146037295248,10646.1,13.858527325407133
2013-06-30,129422.82352365096,16878.787666666667,7.667779586992709,10703.3,12.091861717755362
2013-07-31,131960.21427247452,16953.838,7.783500955504855,10742.8,12.28359592215014
2013-08-31,131885.34875164257,17033.231666666667,7.742825984674227,10801.2,12.210249671484886
2013-09-30,133171.02722658054,17112.625333333333,7.782033710933845,10862.0,12.260267651130597
2013-10-31,133536.1969335292,17192.019,7.767336514316858,10986.3,12.154792508262945
2013-11-30,125326.40888807942,17193.925333333333,7.288993435670735,10995.6,11.397869046534923
2013-12-31,119461.43876723439,17195.83166666667,6.947116085045477,11060.1,10.801117419122285
2014-01-31,130220.41711330513,17197.738,7.57195028283982,11130.8,11.699106723084157
2014-02-28,136068.8734536791,17304.661333333333,7.86313414822945,11196.8,12.152478695134244
