,M2,omega,L,GDP,L_GDP_ratio
2000-01-31,4667.6,10.499261447562777,49006.35273264402,10002.179,4.899567657471839
2000-02-29,4680.9,10.336435711823508,48383.82192347466,10084.026,4.7980659632843725
2000-03-31,4711.7,11.942869057547956,56271.2161384487,10165.873,5.53530583536197
2000-04-30,4767.8,11.756620428751576,56053.21488020177,10247.72,5.46982303187458
2000-05-31,4755.7,9.284412955465587,44153.88269230769,10271.201666666666,4.298803988592802
2000-06-30,4773.6,9.047815072830907,43190.650031665624,10294.683333333334,4.195432596922905
2000-07-31,4791.3,11.130039525691698,53327.35837944663,10318.165,5.168298663516878
2000-08-31,4819.5,7.82411630558723,37708.328534777655,10357.358,3.6407285076732556
2000-09-30,4855.2,9.629838142153412,46754.79014778324,10396.551000000001,4.497144307548074
2000-10-31,4871.3,8.955223880597016,43623.58208955225,10435.744,4.180208147071474
2000-11-30,4882.7,8.177374731017522,39927.667599139255,10447.239666666666,3.821838961590389
2000-12-31,4927.6,12.021700620017715,59238.13197519929,10458.735333333334,5.663986140503981
2001-01-31,4978.3,9.984580669424597,49706.23794659647,10470.231,4.747386943668814
2001-02-28,5017.0,10.40818759936407,52217.87718600954,10513.154,4.9669088064352085
2001-03-31,5074.8,11.192765957446808,56801.04868085106,10556.077,5.380886164514626
2001-04-30,5139.1,9.57295112091143,49196.35310547593,10599.0,4.64160327441041
2001-05-31,5137.2,9.539754816112085,49007.628441331,10598.673333333334,4.623939893231699
2001-06-30,5180.1,10.310186951545212,53407.799427699356,10598.346666666666,5.0392576415408845
2001-07-31,5210.0,10.986858316221765,57241.5318275154,10598.02,5.401153406722708
2001-08-31,5243.8,10.163805970149253,53296.96574626866,10618.835000000001,5.019097268793484
2001-09-30,5355.1,12.959304983996342,69398.37411979881,10639.65,6.522618142495178
2001-10-31,5343.8,14.419765664798778,77056.34375955172,10660.465,7.228234768328747
2001-11-30,5387.5,14.596194503171247,78636.9978858351,10701.476666666667,7.348238036230678
2001-12-31,5440.5,14.255813953488373,77558.7558139535,10742.488333333333,7.219812896914495
2002-01-31,5460.9,14.761929732564237,80613.42207656003,10783.5,7.475626844397462
