,omega,omega_eq,gap,gap_pct,M2,GDP,L
2000-08-31,7.933294976994548,31.377375200062335,-23.444080223067786,-74.71651173365582,4819.5,10376.9545,38234.51514162523
2000-09-30,9.627023437843617,31.23488820036585,-21.607864762522233,-69.1786204705197,4855.2,10406.34925,46741.12419541833
2000-10-31,8.786069449302964,31.245384863451683,-22.45931541414872,-71.88042494051595,4871.3,10444.36575,42799.58010838953
2000-11-30,8.303105013941458,31.198166581303827,-22.89506156736237,-73.38591999532026,4882.7,10452.9875,40541.57085157196
2000-12-31,12.04605845881311,30.93938888053662,-18.89333042172351,-61.06562251334234,4927.6,10461.60925,59358.157661647485
2001-01-31,9.988717792535375,30.743770902454177,-20.7550531099188,-67.50978328511417,4978.3,10502.42325,49726.83378657886
2001-02-28,10.604133060133892,30.600129965804857,-19.995996905670964,-65.34611757537031,5017.0,10534.6155,53200.935562691746
2001-03-31,10.974467825382314,30.344050877512082,-19.36958305212977,-63.833214392889545,5074.8,10566.80775,55693.22932025017
2001-04-30,9.70231532524807,30.054981682643064,-20.352666357394995,-67.71811266532491,5139.1,10598.755,49861.16868798236
2001-05-31,9.292468924447242,30.065402550531104,-20.772933626083862,-69.0924845964416,5137.2,10598.51,47737.27135867037
2001-06-30,10.324303933747258,29.81572085479155,-19.49141692104429,-65.37295212807814,5180.1,10598.265,53480.926807204174
2001-07-31,10.932238694333932,29.687590751595398,-18.755352057261465,-63.175729597571205,5210.0,10613.63125,56956.963597479786
2001-08-31,10.238805742406132,29.539618294824542,-19.30081255241841,-65.33873376353002,5243.8,10629.2425,53690.24955202928
2001-09-30,13.369912843917897,28.968152417880123,-15.598239573962227,-53.8461664691272,5355.1,10644.85375,71597.22027046472
2001-10-31,14.23841059602649,29.155863352743935,-14.917452756717445,-51.16450360683119,5343.8,10691.22375,76087.21854304636
2001-11-30,14.476743863450547,29.00257068347236,-14.525826820021813,-50.08461828626667,5387.5,10721.9825,77993.45756433983
2001-12-31,14.403101406048126,28.80242560978249,-14.399324203734363,-49.993442909349135,5440.5,10752.74125,78360.07319960483
2002-01-31,14.792868699712407,28.846269942135194,-14.053401242422787,-48.718261565926944,5460.9,10809.49,80782.37668225948
2002-02-28,14.312591037483417,28.761310617313796,-14.44871957983038,-50.23665218904353,5490.2,10835.48,78578.98731399146
2002-03-31,11.941594558149788,28.768465935177453,-16.826871377027665,-58.4906800902864,5502.0,10861.47,65702.65325894013
2002-04-30,11.449221419439748,28.900731803518255,-17.451510384078507,-60.38432003287208,5502.1,10911.605,62994.76117189943
2002-05-31,13.678257226644323,28.827411919172096,-15.149154692527773,-52.551213182105336,5528.3,10935.75,75617.50942605782
2002-06-30,12.376628503750494,28.760997275382284,-16.38436877163179,-56.96731797842018,5553.3,10959.895,68731.13106987762
2002-07-31,11.537291179871811,28.654802160515327,-17.117510980643516,-59.73697143242001,5596.0,11003.38825,64562.681442562665
2002-08-31,11.335268283616996,28.489834658405158,-17.15456637478816,-60.21293763362424,5638.3,11022.7365,63911.64316351771
2002-09-30,11.126760353709528,28.418875124724547,-17.29211477101502,-60.84728792087483,5662.3,11042.084750000002,63003.055150809465
2002-10-31,12.465699725597805,28.31713793668979,-15.851438211091985,-55.97824980240564,5707.1,11089.607,71142.99490395923
2002-11-30,12.30769183344867,28.13763521890811,-15.829943385459439,-56.25896868128396,5758.1,11117.781,70868.92034618079
2002-12-31,11.54050485071433,28.104975739610914,-16.564470888896587,-58.93785869934327,5779.4,11145.955000000002,66697.1937342184
2003-01-31,11.666138352643928,28.104396887087393,-16.438258534443463,-58.48998859675244,5812.1,11208.78825,67804.76271940177
2003-02-28,10.300000359030332,28.01727951675072,-17.717279157720387,-63.23697183778225,5848.2,11243.4475,60236.46209968119
2003-03-31,11.975044345685715,28.0069086961152,-16.031864350429487,-57.24253442027768,5868.4,11278.10675,70274.35023822206
2003-04-30,14.368644326420153,28.073129018552116,-13.704484692131963,-48.817090118722994,5905.5,11376.24175,84854.02906967422
2003-05-31,13.71331828442438,27.946774667395726,-14.233456382971346,-50.93058699033664,5965.3,11439.7175,81804.05756207676
2003-06-30,11.98060941828255,27.92908040847888,-15.948470990196332,-57.103459036032554,6002.2,11503.19325,71910.01385041552
2003-07-31,12.343096234309623,27.989268177462296,-15.646171943152673,-55.90061106260501,6049.1,11618.06025,74664.62343096235
2003-08-31,12.366689012739672,27.846081828109284,-15.479392815369613,-55.58912349292857,6107.1,11669.4515,75524.60646970247
2003-09-30,13.720184901975236,28.094762987089048,-14.374578085113813,-51.16461773220743,6079.7,11720.84275,83414.60814853884
2003-10-31,13.791248206599713,28.353799198920473,-14.56255099232076,-51.36014010029106,6070.0,11810.03725,83712.87661406025
2003-11-30,13.706389906492875,28.418807923978314,-14.712418017485438,-51.77000406506096,6075.5,11847.8405,83273.17187689747
2003-12-31,13.719472350067038,28.51746418170061,-14.797991831633572,-51.890980689402625,6073.8,11885.64375,83329.33115983718
2004-01-31,13.62004782279144,28.68255945638933,-15.062511633597891,-52.51453119621291,6082.1,11970.789,82838.49286299982
2004-02-29,12.03400102903717,28.609250447240186,-16.575249418203015,-57.93667837880023,6121.8,12018.131,73669.74749955976
2004-03-31,13.233198754814763,28.553569221020865,-15.320370466206102,-53.654835049228765,6157.9,12065.473,81488.71461227383
2004-04-30,10.98495600340619,28.58914233947249,-17.604186336066302,-61.57647587685949,6198.9,12160.938,68094.64376951463
2004-05-31,10.64864864864865,28.351025458829817,-17.702376810181168,-62.43998770304737,6275.7,12209.061000000002,66827.72432432433
2004-06-30,11.81818200191197,28.452798944838317,-16.63461694292635,-58.46390358704612,6277.9,12257.184,74193.36478980315
2004-07-31,9.428502531950809,28.6330823977744,-19.20457986582359,-67.07129745596768,6291.1,12360.78375,59315.65227875573
