pelt_date,pelt_omega,chanlun_date,chanlun_omega,turn_dir,delta_days,relation
2013-05-16,13.31,2013-07-07,11.31,bottom,52,PELT领先
2014-11-26,15.43,2014-08-14,12.86,top,-104,PELT滞后
2015-12-03,24.14,2015-08-24,26.93,top,-101,PELT滞后
2016-09-29,26.97,2016-08-02,32.5,top,-58,PELT滞后
2017-10-25,21.83,2017-08-30,26.06,top,-56,PELT滞后
2019-07-17,22.11,2019-09-03,26.65,top,48,PELT领先
2020-11-23,39.79,2021-03-07,24.21,bottom,104,PELT领先
2021-02-08,30.16,2021-03-07,24.21,bottom,27,PELT领先
2022-01-12,21.55,2022-03-06,15.25,bottom,53,PELT领先
2022-12-01,20.72,2022-12-09,23.43,top,8,PELT领先
2024-07-31,30.29,2024-10-20,37.23,top,81,PELT领先
2025-04-02,43.55,2025-05-07,55.1,top,35,PELT领先
2025-09-30,57.3,2025-08-07,51.83,top,-54,PELT滞后
