date,omega,type
2010-06-21,15.72,chanlun_bottom
2010-08-24,17.04,chanlun_top
2011-04-08,11.63,chanlun_bottom
2011-05-23,13.77,chanlun_top
2011-10-14,14.76,chanlun_bottom
2012-02-02,15.66,chanlun_top
2012-08-15,13.8,chanlun_bottom
2012-11-13,15.94,chanlun_top
2013-02-20,13.57,chanlun_bottom
2013-03-21,15.03,chanlun_top
2013-05-16,13.31,pelt_breakpoint
2013-07-07,11.31,chanlun_bottom
2013-09-19,12.56,chanlun_top
2013-12-23,10.76,chanlun_bottom
2014-03-17,12.91,chanlun_top
2014-06-18,11.14,chanlun_bottom
2014-08-14,12.86,chanlun_top
2014-11-26,15.43,pelt_breakpoint
2015-05-05,17.63,chanlun_bottom
2015-08-24,26.93,chanlun_top
2015-12-03,24.14,pelt_breakpoint
2016-06-08,23.94,chanlun_bottom
2016-08-02,32.5,chanlun_top
2016-09-29,26.97,pelt_breakpoint
2016-12-30,20.21,chanlun_bottom
2017-06-21,27.71,chanlun_top
2017-07-30,24.04,chanlun_bottom
2017-08-30,26.06,chanlun_top
2017-10-25,21.83,pelt_breakpoint
2018-01-09,18.95,chanlun_bottom
2018-02-13,21.2,chanlun_top
2018-10-03,13.93,chanlun_bottom
2018-12-24,24.98,chanlun_top
2019-04-24,17.11,chanlun_bottom
2019-07-17,22.11,pelt_breakpoint
2019-09-03,26.65,chanlun_top
2020-03-03,31.78,pelt_breakpoint
2020-07-06,41.46,chanlun_bottom
2020-07-31,45.58,chanlun_top
2020-11-23,39.79,pelt_breakpoint
2021-02-08,30.16,pelt_breakpoint
2021-03-07,24.21,chanlun_bottom
2021-08-20,27.42,chanlun_top
2022-01-12,21.55,pelt_breakpoint
2022-03-06,15.25,chanlun_bottom
2022-04-11,19.6,chanlun_top
2022-05-31,14.91,chanlun_bottom
2022-09-07,19.5,chanlun_top
2022-11-04,16.98,chanlun_bottom
2022-12-01,20.72,pelt_breakpoint
2022-12-09,23.43,chanlun_top
2023-03-06,21.39,chanlun_bottom
2023-06-12,27.13,chanlun_top
2023-09-29,19.38,chanlun_bottom
2023-12-07,27.22,chanlun_top
2024-03-19,24.73,chanlun_bottom
2024-07-31,30.29,pelt_breakpoint
2024-10-20,37.23,chanlun_top
2025-01-15,32.86,chanlun_bottom
2025-04-02,43.55,pelt_breakpoint
2025-05-07,55.1,chanlun_top
2025-06-20,43.53,chanlun_bottom
2025-08-07,51.83,chanlun_top
2025-09-30,57.3,pelt_breakpoint
2026-03-29,38.35,chanlun_bottom
