date,window,USD/Equity_vol,USD/Equity_z,USD/Equity_ratio,USD/Equity_state,USD/Commodity_vol,USD/Commodity_z,USD/Commodity_ratio,USD/Commodity_state,Equity/Commodity_vol,Equity/Commodity_z,Equity/Commodity_ratio,Equity/Commodity_state
1986-10-07,baseline,0.015906,3.62,1.71,riot,0.030708,1.27,1.358,normal,0.032118,1.42,1.304,normal
1986-10-08,baseline,0.016129,3.74,1.734,riot,0.030944,1.31,1.368,normal,0.032789,1.55,1.331,normal
1986-10-09,baseline,0.008534,-0.42,0.917,normal,0.031361,1.38,1.387,normal,0.030295,1.07,1.23,normal
1986-10-10,baseline,0.008245,-0.58,0.886,normal,0.03126,1.36,1.382,normal,0.029924,1.0,1.215,normal
1986-10-14,baseline,0.008018,-0.71,0.862,normal,0.029915,1.15,1.323,normal,0.027785,0.6,1.128,normal
1986-10-15,baseline,0.008352,-0.52,0.898,normal,0.028454,0.92,1.258,normal,0.02651,0.35,1.076,normal
1986-10-16,baseline,0.008216,-0.6,0.883,normal,0.02858,0.94,1.264,normal,0.026865,0.42,1.09,normal
1986-10-17,baseline,0.007674,-0.89,0.825,normal,0.026809,0.66,1.185,normal,0.026342,0.32,1.069,normal
1986-10-20,baseline,0.008575,-0.4,0.922,normal,0.027026,0.69,1.195,normal,0.027366,0.52,1.111,normal
1986-10-21,baseline,0.008497,-0.44,0.913,normal,0.023649,0.16,1.046,normal,0.024648,0.0,1.0,normal
1986-10-22,baseline,0.008403,-0.49,0.903,normal,0.024331,0.27,1.076,normal,0.025152,0.1,1.021,normal
1986-10-23,baseline,0.008392,-0.5,0.902,normal,0.024148,0.24,1.068,normal,0.025104,0.09,1.019,normal
1986-10-24,baseline,0.007976,-0.73,0.857,normal,0.023766,0.18,1.051,normal,0.025154,0.1,1.021,normal
1986-10-27,baseline,0.007989,-0.72,0.859,normal,0.025389,0.44,1.123,normal,0.026538,0.36,1.077,normal
1986-10-28,baseline,0.008114,-0.65,0.872,normal,0.023172,0.09,1.025,normal,0.02446,-0.03,0.993,normal
1986-10-29,baseline,0.008244,-0.58,0.886,normal,0.023794,0.19,1.052,normal,0.025405,0.15,1.031,normal
1986-10-30,baseline,0.00792,-0.76,0.851,normal,0.029845,1.14,1.32,normal,0.031495,1.3,1.278,normal
1986-10-31,baseline,0.007991,-0.72,0.859,normal,0.029686,1.11,1.313,normal,0.031528,1.31,1.28,normal
1986-11-03,baseline,0.008099,-0.66,0.871,normal,0.029887,1.14,1.321,normal,0.032164,1.43,1.305,normal
1986-11-04,baseline,0.007853,-0.8,0.844,normal,0.030514,1.24,1.349,normal,0.032627,1.52,1.324,normal
1986-11-05,baseline,0.007676,-0.89,0.825,normal,0.028479,0.92,1.259,normal,0.030087,1.03,1.221,normal
1986-11-06,baseline,0.007412,-1.04,0.797,freeze,0.028498,0.93,1.26,normal,0.029904,1.0,1.214,normal
1986-11-07,baseline,0.007324,-1.09,0.787,freeze,0.028215,0.88,1.247,normal,0.029779,0.98,1.209,normal
1986-11-10,baseline,0.007449,-1.02,0.801,freeze,0.028462,0.92,1.258,normal,0.029862,0.99,1.212,normal
1986-11-11,baseline,0.00754,-0.97,0.81,normal,0.027919,0.83,1.234,normal,0.029155,0.86,1.183,normal
