date,window,USD/Equity_vol,USD/Equity_z,USD/Equity_ratio,USD/Equity_state,USD/Commodity_vol,USD/Commodity_z,USD/Commodity_ratio,USD/Commodity_state,Equity/Commodity_vol,Equity/Commodity_z,Equity/Commodity_ratio,Equity/Commodity_state
1990-07-30,baseline,0.008113,-2.16,0.639,freeze,0.025948,-2.15,0.53,freeze,0.025023,-2.37,0.445,freeze
1990-07-31,baseline,0.008259,-2.09,0.651,freeze,0.026084,-2.14,0.533,freeze,0.024613,-2.4,0.438,freeze
1990-08-01,baseline,0.008349,-2.05,0.658,freeze,0.026587,-2.09,0.543,freeze,0.025452,-2.33,0.453,freeze
1990-08-02,baseline,0.008536,-1.96,0.673,freeze,0.0306,-1.71,0.625,freeze,0.03239,-1.81,0.576,freeze
1990-08-03,baseline,0.009292,-1.6,0.732,freeze,0.030391,-1.73,0.621,freeze,0.031764,-1.85,0.565,freeze
1990-08-06,baseline,0.010773,-0.9,0.849,normal,0.049176,0.02,1.004,normal,0.054442,-0.13,0.969,normal
1990-08-07,baseline,0.010775,-0.9,0.849,normal,0.049176,0.02,1.004,normal,0.054441,-0.13,0.969,normal
1990-08-08,baseline,0.010927,-0.83,0.861,normal,0.059784,1.01,1.221,normal,0.065541,0.71,1.166,normal
1990-08-09,baseline,0.009693,-1.41,0.764,freeze,0.058979,0.93,1.204,normal,0.065866,0.73,1.172,normal
1990-08-10,baseline,0.009906,-1.31,0.781,freeze,0.058194,0.86,1.188,normal,0.065246,0.69,1.161,normal
1990-08-13,baseline,0.010783,-0.9,0.85,normal,0.058245,0.86,1.189,normal,0.065215,0.68,1.16,normal
1990-08-14,baseline,0.011027,-0.78,0.869,normal,0.057922,0.83,1.183,normal,0.065065,0.67,1.158,normal
1990-08-15,baseline,0.010903,-0.84,0.859,normal,0.058201,0.86,1.188,normal,0.06542,0.7,1.164,normal
1990-08-16,baseline,0.011364,-0.62,0.896,normal,0.058293,0.87,1.19,normal,0.065847,0.73,1.172,normal
1990-08-17,baseline,0.011415,-0.6,0.9,normal,0.058589,0.9,1.196,normal,0.06625,0.76,1.179,normal
1990-08-20,baseline,0.01129,-0.66,0.89,normal,0.058951,0.93,1.204,normal,0.066486,0.78,1.183,normal
1990-08-21,baseline,0.011917,-0.36,0.939,normal,0.059037,0.94,1.205,normal,0.066245,0.76,1.179,normal
1990-08-22,baseline,0.012122,-0.27,0.955,normal,0.058967,0.93,1.204,normal,0.066471,0.78,1.183,normal
1990-08-23,baseline,0.012637,-0.02,0.996,normal,0.058891,0.92,1.202,normal,0.06681,0.8,1.189,normal
1990-08-24,baseline,0.012898,0.1,1.017,normal,0.059575,0.99,1.216,normal,0.067813,0.88,1.207,normal
1990-08-27,baseline,0.015543,1.35,1.225,normal,0.068045,1.78,1.389,normal,0.079682,1.78,1.418,normal
1990-08-28,baseline,0.015087,1.13,1.189,normal,0.068008,1.78,1.389,normal,0.079685,1.78,1.418,normal
1990-08-29,baseline,0.015284,1.22,1.205,normal,0.069702,1.93,1.423,normal,0.081666,1.93,1.453,normal
1990-08-30,baseline,0.015585,1.37,1.228,normal,0.067293,1.71,1.374,normal,0.079273,1.75,1.41,normal
1990-08-31,baseline,0.015375,1.27,1.212,normal,0.067294,1.71,1.374,normal,0.079238,1.75,1.41,normal
1990-09-04,baseline,0.014389,0.8,1.134,normal,0.053141,0.39,1.085,normal,0.063769,0.57,1.135,normal
1990-09-05,baseline,0.014913,1.05,1.175,normal,0.053444,0.42,1.091,normal,0.063607,0.56,1.132,normal
1990-09-06,baseline,0.014828,1.01,1.169,normal,0.045696,-0.31,0.933,normal,0.056297,0.01,1.002,normal
1990-09-07,baseline,0.014809,1.0,1.167,normal,0.047396,-0.15,0.968,normal,0.057763,0.12,1.028,normal
1990-09-10,baseline,0.014878,1.03,1.173,normal,0.047223,-0.16,0.964,normal,0.057543,0.1,1.024,normal
1990-09-11,pre,0.014263,0.74,1.124,normal,0.047252,-0.16,0.965,normal,0.057806,0.12,1.028,normal
1990-09-12,pre,0.014101,0.67,1.111,normal,0.047236,-0.16,0.964,normal,0.057543,0.1,1.024,normal
1990-09-13,pre,0.014059,0.65,1.108,normal,0.047312,-0.16,0.966,normal,0.057462,0.1,1.022,normal
1990-09-14,pre,0.013632,0.45,1.074,normal,0.046919,-0.19,0.958,normal,0.056653,0.03,1.008,normal
