date,window,Au/USD_vol,Au/USD_z,Au/USD_ratio,Au/USD_state,Au/Equity_vol,Au/Equity_z,Au/Equity_ratio,Au/Equity_state,Au/Commodity_vol,Au/Commodity_z,Au/Commodity_ratio,Au/Commodity_state,USD/Equity_vol,USD/Equity_z,USD/Equity_ratio,USD/Equity_state,USD/Commodity_vol,USD/Commodity_z,USD/Commodity_ratio,USD/Commodity_state,Equity/Commodity_vol,Equity/Commodity_z,Equity/Commodity_ratio,Equity/Commodity_state
2019-11-19,baseline,0.00889,1.93,1.247,normal,0.008787,-0.55,0.929,normal,0.020474,0.95,1.236,normal,0.004031,-0.71,0.81,normal,0.016649,0.24,1.034,normal,0.015849,-0.04,0.994,normal
2019-11-20,baseline,0.008878,1.92,1.245,normal,0.008809,-0.53,0.931,normal,0.02128,1.15,1.285,normal,0.00393,-0.79,0.789,normal,0.017701,0.71,1.1,normal,0.017178,0.56,1.077,normal
2019-11-21,baseline,0.008869,1.91,1.244,normal,0.008761,-0.57,0.926,normal,0.021981,1.32,1.328,normal,0.003995,-0.74,0.803,normal,0.017432,0.59,1.083,normal,0.017388,0.66,1.09,normal
2019-11-22,baseline,0.008777,1.81,1.231,normal,0.008622,-0.68,0.912,normal,0.022202,1.38,1.341,normal,0.004014,-0.73,0.806,normal,0.017815,0.76,1.107,normal,0.017679,0.79,1.109,normal
2019-11-25,baseline,0.008811,1.85,1.235,normal,0.008859,-0.49,0.937,normal,0.022197,1.38,1.341,normal,0.004209,-0.58,0.845,normal,0.017789,0.75,1.105,normal,0.017697,0.8,1.11,normal
2019-11-26,baseline,0.008817,1.85,1.236,normal,0.008644,-0.67,0.914,normal,0.022005,1.33,1.329,normal,0.004075,-0.68,0.819,normal,0.017425,0.59,1.083,normal,0.017015,0.49,1.067,normal
2019-11-27,baseline,0.008881,1.92,1.245,normal,0.008734,-0.59,0.923,normal,0.021962,1.32,1.326,normal,0.004066,-0.69,0.817,normal,0.017423,0.58,1.082,normal,0.01706,0.51,1.07,normal
2019-11-29,baseline,0.009141,2.21,1.282,riot,0.00936,-0.08,0.99,normal,0.021799,1.28,1.317,normal,0.004133,-0.64,0.83,normal,0.017247,0.51,1.072,normal,0.016808,0.39,1.054,normal
2019-12-02,baseline,0.008331,1.32,1.168,normal,0.008675,-0.64,0.917,normal,0.022472,1.44,1.357,normal,0.00432,-0.5,0.868,normal,0.018798,1.19,1.168,normal,0.017907,0.89,1.123,normal
2019-12-03,baseline,0.008897,1.94,1.248,normal,0.009517,0.05,1.006,normal,0.020957,1.07,1.266,normal,0.003888,-0.82,0.781,normal,0.016775,0.3,1.042,normal,0.016951,0.46,1.063,normal
2019-12-04,baseline,0.008892,1.94,1.247,normal,0.009663,0.17,1.022,normal,0.022971,1.56,1.387,normal,0.004196,-0.59,0.843,normal,0.019165,1.35,1.191,normal,0.018613,1.21,1.167,normal
2019-12-05,baseline,0.007331,0.22,1.028,normal,0.00897,-0.4,0.948,normal,0.022044,1.34,1.331,normal,0.003971,-0.76,0.798,normal,0.019114,1.33,1.188,normal,0.018393,1.11,1.153,normal
2019-12-06,baseline,0.007909,0.85,1.109,normal,0.009913,0.37,1.048,normal,0.021948,1.31,1.325,normal,0.004134,-0.64,0.83,normal,0.018779,1.18,1.167,normal,0.017967,0.92,1.127,normal
2019-12-09,baseline,0.006586,-0.6,0.924,normal,0.009001,-0.37,0.952,normal,0.021025,1.09,1.27,normal,0.00422,-0.57,0.848,normal,0.018703,1.15,1.162,normal,0.017839,0.86,1.119,normal
2019-12-10,baseline,0.006582,-0.6,0.923,normal,0.00901,-0.37,0.953,normal,0.02102,1.09,1.269,normal,0.004217,-0.57,0.847,normal,0.018717,1.15,1.163,normal,0.017857,0.87,1.12,normal
