year,gdp_bn
2000,33898.1564272059
2001,33690.4176996127
2002,34991.5255649169
2003,39243.276986261895
2004,44225.384449869794
2005,47900.489808168895
2006,51923.507284496
2007,58525.7858011858
2008,64311.729364641295
2009,60982.2559600044
2010,66811.1914916149
2011,74309.7093537892
2012,75960.594595757
2013,78034.8928411792
2014,80054.8887754311
2015,75621.9139616462
2016,76831.68401252621
2017,81839.1029170447
2018,87050.9649560784
2019,88483.2624181966
2020,85912.7610352312
2021,98140.4752649759
2022,102251.524725531
2023,106741.647821064
2024,110982.661180013
